ID,Author,Year,Events.E,Total.E,Events.C,Total.C,group
22,刘稚媛,2011,1,38,4,38,IVA
30,Chan et al.,2013,70,450,109,452,Combined
92,Radtke,2013,95,575,124,580,Combined
49,钱露露,2016,16,90,28,90,IVA
52,Zhou et al.,2018,7,41,11,40,IVA
55,范龙,2018,1,54,5,54,IVA
58,张琦,2018,4,40,11,40,Combined
70,张爱萍等,2020,10,70,20,70,IVA
71,陈新凯等,2020,8,55,17,55,IVA
72,李小莉,2020,0,40,1,40,IVA
93,Kunst,2020,1,42,8,40,Combined
80,赖翠瑶,2020,1,30,5,30,IVA
75,李其金等,2021,2,46,12,46,IVA
76,吴正文等,2021,1,55,10,54,IVA
78,陈伟涛,2021,3,42,11,42,IVA
